"country","constituency","valid_votes","electorate","turnout_registered"
"England","Boston and Skegness",40455,75811,53.3629684346599
"England","Bournemouth East",44910,72354,62.0698233684385
"England","Bournemouth West",39418,70259,56.1038443473434
"England","Bracknell",43837,71660,61.1735975439576
"England","Bradford East",37216,75164,49.5130647650471
"England","Bradford South",33042,70999,46.5386836434316
"England","Bradford West",37081,77897,47.6026034378731
"England","Braintree",49028,77673,63.1210330488072
"England","Brent East",37802,77547,48.7472113685894
"England","Brent West",41376,80027,51.7025503892436
"England","Brentford and Isleworth",45254,79423,56.9784571219924
"England","Brentwood and Ongar",48332,75352,64.1416286229961
"England","Bridgwater",40129,71571,56.0687988151626
"England","Bridlington and The Wolds",42937,74438,57.6815604932964
"England","Brigg and Immingham",42508,73099,58.151274299238
"England","Brighton Kemptown and Peacehaven",40686,68784,59.1503838101884
"England","Brighton Pavilion",52363,74786,70.0171155029016
"England","Bristol Central",43365,62735,69.124093408783
"England","Bristol East",46109,75917,60.7360670205619
"England","Bristol North East",41989,70076,59.9192305496889
"England","Bristol North West",48464,74869,64.731731424221
"England","Bristol South",43403,75533,57.4623012458131
"England","Broadland and Fakenham",49513,76863,64.4172098408857
"England","Bromley and Biggin Hill",46788,70713,66.1660515039667
"England","Bromsgrove",50405,76468,65.9164617879374
"England","Broxbourne",42952,75210,57.1094269379072
"England","Broxtowe",47838,70440,67.9131175468484
"England","Buckingham and Bletchley",47641,74832,63.6639405601882
"England","Burnley",39719,74954,52.991167916322
"England","Burton and Uttoxeter",45627,77994,58.5006538964536
"England","Bury North",45520,77686,58.5948562160492
"England","Bury South",42214,75326,56.0417385763216
"England","Bury St Edmunds and Stowmarket",50893,78479,64.8491953261382
"England","Calder Valley",49608,77364,64.1228478362029
"England","Camborne and Redruth",47785,74342,64.2772591536413
"England","Cambridge",42100,70321,59.8683181410958
"England","Cannock Chase",42953,76974,55.8019591030738
"England","Canterbury",47231,71155,66.3776263087626
"England","Carlisle",45979,77863,59.0511539498863
"England","Carshalton and Wallington",46670,74362,62.7605497431484
"England","Castle Point",40633,71026,57.2086278264298
"England","Central Devon",53432,75385,70.8788220468263
"England","Central Suffolk and North Ipswich",46423,73046,63.5531035238069
"England","Chatham and Aylesford",40845,75109,54.3809663289353
"England","Cheadle",50731,74383,68.2024118414154
"England","Chelmsford",50716,76970,65.8906067298948
"England","Chelsea and Fulham",47116,78468,60.0448590508233
"England","Cheltenham",49542,76144,65.0635637739021
"England","Chesham and Amersham",54455,74889,72.7142838067006
"England","Chester North and Neston",44694,70215,63.6530655842769
"England","Chester South and Eddisbury",52486,74284,70.6558612891067
"England","Chesterfield",41555,71645,58.001256193733
"England","Chichester",51947,78374,66.2809094852885
"England","Chingford and Woodford Green",48512,74010,65.5478989325767
"England","Chippenham",49512,74107,66.8115022872333
"England","Chipping Barnet",50859,78038,65.1720956457111
"England","Chorley",33964,74801,45.4058100827529
"England","Christchurch",47335,71060,66.6127216436814
"England","Cities of London and Westminster",39215,73369,53.4490043478853
"England","City of Durham",40627,70583,57.5591856396016
"England","Clacton",45958,78245,58.7360214710205
"England","Clapham and Brixton Hill",42741,74159,57.6342723068003
"England","Colchester",44903,78662,57.0834710533676
"England","Colne Valley",46221,72638,63.631983259451
"England","Congleton",50125,74243,67.5147825384211
"England","Corby and East Northamptonshire",49589,78770,62.95417036943
"England","Coventry East",37014,75773,48.8485344383883
"England","Coventry North West",42030,75036,56.0131137054214
"England","Coventry South",42731,76232,56.0538881309686
"England","Cramlington and Killingworth",45394,76228,59.5502964789841
"England","Crawley",45642,75569,60.3977821593511
"England","Crewe and Nantwich",47197,78423,60.1825994924958
"England","Croydon East",43779,76595,57.1564723545923
"England","Croydon South",49378,74889,65.9349170105089
"England","Croydon West",38122,77891,48.9427533347884
"England","Dagenham and Rainham",38867,76475,50.8231448185682
"England","Darlington",42378,70672,59.9643423137876
"England","Dartford",44488,75426,58.9823137910005
"England","Daventry",53082,80879,65.6313752642837
"England","Derby North",40919,71879,56.9276144631951
"England","Derby South",37399,72944,51.2708379030489
"England","Derbyshire Dales",51272,73324,69.9252632153183
"England","Dewsbury and Batley",38070,71685,53.1073446327684
"England","Didcot and Wantage",54733,80689,67.8320464995229
"England","Doncaster Central",37944,74678,50.8101448887222
"England","Doncaster East and the Isle of Axholme",39132,70154,55.7801408330245
"England","Doncaster North",31002,69759,44.4415774308691
"England","Dorking and Horley",49965,71645,69.7396887431084
"England","Dover and Deal",47775,76406,62.5278119519409
"England","Droitwich and Evesham",49609,76624,64.7434224263938
"England","Dudley",35796,70151,51.0270701771892
"England","Dulwich and West Norwood",45378,74259,61.1077445158163
"England","Dunstable and Leighton Buzzard",46045,76742,59.9997393865159
"England","Ealing Central and Acton",47769,78436,60.9018817889744
"England","Ealing North",43232,74820,57.7813418871959
"England","Ealing Southall",46816,78669,59.5100992767164
"England","Earley and Woodley",45914,73548,62.4272583890792
"England","Easington",34324,69395,49.461776785071
"England","East Grinstead and Uckfield",50393,75385,66.8475160841016
"England","East Ham",37892,79219,47.8319595046643
"England","East Hampshire",50006,70659,70.7708855205989
"England","East Surrey",49196,73307,67.1095529758413
"England","East Thanet",42713,74927,57.0061526552511
"England","East Wiltshire",47193,74139,63.654756605835
"England","East Worthing and Shoreham",49078,74738,65.6667291070138
"England","Eastbourne",45605,72590,62.8254580520733
"England","Eastleigh",46420,69965,66.3474594440077
"England","Edmonton and Winchmore Hill",41045,75792,54.1547920624868
"England","Ellesmere Port and Bromborough",41964,70799,59.2720236161528
"England","Eltham and Chislehurst",45566,73979,61.593154814204
"England","Ely and East Cambridgeshire",52369,79112,66.1960258873496
"England","Enfield North",43492,78770,55.2139139266218
"England","Epping Forest",41753,72229,57.8064212435448
"England","Epsom and Ewell",54525,76513,71.2623998536196
"England","Erewash",43006,71501,60.1474105257269
"England","Erith and Thamesmead",40379,78740,51.2814325628651
"England","Esher and Walton",53880,74042,72.7695091974825
"England","Exeter",40195,67840,59.2497051886792
